Nama Dosen;Program Studi;Kepakaran;URL Profil
Tri Kies Welly, S.T., M.T.;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfY9hZ69nmmhmYn5zfZGVl5iYapZmaK52rsBolWuYbJNnlq%2Bkrg%3D%3D
Ongky Anggara, S.T., M.T.;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfY9haK9kmJWSZLJ3fcOVaWeVaGZkarOlscBoZ2OaaJJkZ3%2BngQ%3D%3D
Meraty Ramadhini, S.S.T., M.T.;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfZJiaa9na2NiZ692hZZpmJWWmZRqZISkrpaXaWaVa5VnZn53fg%3D%3D
Muhammad Ario Eko Rahadianto, M.T.;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfZJjaq%2BVmZNmlH6mssRhlGtsbpdhaYJ0r8KWamiZm5Zok4Z6gg%3D%3D
Misfallah Nurhayati, M.T.;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfZJja69kmmWUZn92hZJnaplmmGGTZLF4hJCTZJVramNqZYJzgQ%3D%3D
Ayudia Hardiyani Kiranaratri, S.T., M.T.;Teknik Sipil;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJBjY69ta5RlZ4B4f8RilWlqlpVnZYBxfJhpZWpmbWRmloB2gw%3D%3D
Nugraha Bintang Wirawan, S.T., M.T.;Teknik Sipil;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJBnaq9maGFllK92sZaWk2ZtbJOSaa93r5ZnYpeZmGhmYn5yrw%3D%3D
Winny Novalina, S.T., M.T.;Teknik Sipil;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJBna69pl5KTZ655gpFmYmZlapSUl4FxsZiUk2Nqa2qTa7B0fA%3D%3D
Bernaditha Catur Marina, S.T., M.T.;Teknik Sipil;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJBoYq%2BXm2FpY7Byg5ZhmGVnlmqWl4Clr8NllGxkmmNmlLF0rg%3D%3D
Hermon Frederik Tambunan, S.T., M.T.;Teknik Sipil;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJBqa69pamJpaIGng5iVZZdrmWVpZbNyfpeWaGVpbpRlZIN5sg%3D%3D
Ahmad Yudi, S.T., M.T.;Teknik Sipil;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJFkaa9naJNiY32lsJhnZGNql5VolYVxrpGXamWVZ5OTaLF0rQ%3D%3D
Reza Asriandi Ekaputra, S.T., M.T.;Teknik Sipil;"#transportation modeling; #disaster management; #machine learning; #remote sensing";https://directory.itera.ac.id/researcher/id/gpKIfJFmZK%2BaZWdmYrCmhZdlk2qWZpaXk7F1hMWSlmuVlpKVloWjrw%3D%3D
Siti Rahma, S.T., M.T.;Teknik Sipil;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJJpZ69slmdjZ4Wlg8VlZWVkZWNhl4SksZJqYmpom2OVlX92sQ%3D%3D
Ir. Muhammad Abi Berkah Nadi, S.T., M.T., IPM.;Teknik Sipil;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJJpaa%2BXlmeWloR6fpKVYmmZbGFla7JxsZJjZmRkbJJkZYBxhQ%3D%3D
Dr. Eng. Rahmat Kurniawan, S.T., M.T.;Teknik Sipil;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJNiZ6%2BXa2JkabOjhJOSmGZmbJRplYCjsJRlmJhkaWJpk7GlgQ%3D%3D
Syahidus Syuhada, S.T., M.T.;Teknik Sipil;Soil Mechanics, Soil Improvement, Slope Stability, Foundation Engineering, Construction Material;https://directory.itera.ac.id/researcher/id/gpKIfJNiaK9obWNhYn6kfcVpmGtpa2ZmlK6mfMJpk2pnZpOWZ4B2gQ%3D%3D
